id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
110,11,0.8,240,05/02/2011
110,15,0.8,87.4,05/02/2011
110,1,0.8,230,05/02/2011
110,2,0.8,18,05/02/2011
110,10,0.8,30,05/02/2011
110,5,0.8,120,05/02/2011
111,11,0.72,240,02/02/2011
111,6,0.72,25,02/02/2011
111,1,0.72,270,02/02/2011
111,15,0.72,102.6,02/02/2011
111,5,0.72,150,02/02/2011
112,11,0.46,180,15/02/2011
112,15,0.46,34.2,15/02/2011
112,1,0.46,90,15/02/2011
112,5,0.46,110,15/02/2011
113,15,0.4,64.6,05/02/2011
113,6,0.4,15,05/02/2011
113,10,0.4,35,05/02/2011
113,1,0.4,170,05/02/2011
113,5,0.4,60,05/02/2011
113,11,0.4,180,05/02/2011
114,15,0.5,132.2,07/04/2010
114,6,0.44,20,03/02/2011
114,1,0.44,180,03/02/2011
114,11,0.44,210,03/02/2011
114,11,0.5,30,07/04/2010
114,5,0.44,135,03/02/2011
114,5,0.5,20,07/04/2010
114,3,0.5,208.8,07/04/2010
114,1,0.5,348,07/04/2010
114,15,0.44,68.4,03/02/2011
114,2,0.44,15,03/02/2011
115,11,0.41,120,17/02/2011
115,2,0.41,15,17/02/2011
115,15,0.41,41.8,17/02/2011
115,5,0.41,60,17/02/2011
115,1,0.41,110,17/02/2011
115,6,0.41,15,17/02/2011
116,11,,150,02/02/2011
116,1,,216,02/02/2011
116,15,,78,02/02/2011
116,5,,135,02/02/2011
116,6,,10,02/02/2011
117,15,0.92,93.48,31/03/2010
117,1,,299,02/02/2011
117,6,,30,02/02/2011
117,1,0.92,246,31/03/2010
117,5,,168,02/02/2011
117,15,,108,02/02/2011
117,16,,1500,02/02/2011
117,11,,600,02/02/2011
118,15,0.52,60.8,15/02/2011
118,10,0.52,25,15/02/2011
118,11,0.52,120,15/02/2011
118,1,0.52,160,15/02/2011
118,5,0.52,60,15/02/2011
121,1,0.23,80,21/02/2011
121,11,0.23,80,21/02/2011
121,15,0.23,30.4,21/02/2011
121,5,0.23,40,21/02/2011
122,11,0.72,205,23/02/2011
122,1,0.72,120,23/02/2011
122,15,0.72,45.6,23/02/2011
122,16,0.72,25,23/02/2011
125,11,0.48,90,20/03/2011
125,5,0.48,40,20/03/2011
133,1,,352,02/02/2011
133,6,,60,02/02/2011
133,11,,360,02/02/2011
133,5,,120,02/02/2011
133,15,,125,02/02/2011
134,11,0.72,132,15/04/2010
134,6,0.72,30,15/04/2010
134,2,0.72,12,15/04/2010
134,1,0.72,70,15/04/2010
134,5,0.72,134,15/04/2010
134,15,0.72,26.6,15/04/2010
135,1,0.5,105,03/02/2011
135,11,0.5,180,03/02/2011
135,5,0.5,50,03/02/2011
135,15,0.5,39.9,03/02/2011
140,6,,75,02/02/2011
140,15,,56,02/02/2011
140,1,,160,02/02/2011
140,5,,60,02/02/2011
140,11,,60,02/02/2011
145,11,1.01,400,24/02/2011
145,1,1.01,210,24/02/2011
145,15,1.01,79.8,24/02/2011
145,10,1.01,25,24/02/2011
145,5,1.01,170,24/02/2011
147,1,0.26,65,03/02/2011
147,11,0.26,90,03/02/2011
147,5,0.26,30,03/02/2011
147,6,0.26,10,03/02/2011
147,15,0.26,24.7,03/02/2011
148,6,0.36,15,02/02/2011
148,8,0.36,90,02/02/2011
148,1,0.36,180,02/02/2011
148,15,0.36,68.4,02/02/2011
148,5,0.36,180,02/02/2011
148,11,0.36,120,02/02/2011
148,10,0.36,100,02/02/2011
149,5,,90,02/02/2011
149,15,,46,02/02/2011
149,11,,240,02/02/2011
149,1,,129,02/02/2011
155,5,0.18,60,15/02/2011
155,11,0.18,100,15/02/2011
155,6,0.18,10,15/02/2011
155,15,0.18,26.6,15/02/2011
155,1,0.18,70,15/02/2011
160,15,0.78,22.8,29/04/2010
160,15,0.29,45.6,22/02/2011
160,1,0.29,120,22/02/2011
160,1,0.78,60,29/04/2010
160,5,0.29,80,22/02/2011
160,6,0.29,15,22/02/2011
160,5,0.78,15,29/04/2010
160,11,0.29,120,22/02/2011
162,5,0.98,14,13/04/2010
162,11,,50,02/02/2011
162,6,0.98,5,13/04/2010
162,1,0.98,37,13/04/2010
162,6,,60,02/02/2011
162,15,0.98,14.06,13/04/2010
162,1,,468,02/02/2011
162,15,,168,02/02/2011
162,5,,30,02/02/2011
162,11,0.98,52,13/04/2010
163,6,,40,02/02/2011
163,16,,320,02/02/2011
163,1,,125,02/02/2011
163,15,,44,02/02/2011
163,11,,200,02/02/2011
164,5,,100,02/02/2011
164,15,,72,02/02/2011
164,6,,93,02/02/2011
164,11,,180,02/02/2011
164,1,,200,02/02/2011
165,5,0.36,25,29/04/2010
165,5,0.34,90,26/02/2011
165,15,0.36,22.8,29/04/2010
165,1,0.36,60,29/04/2010
165,1,0.34,120,26/02/2011
165,11,0.34,140,26/02/2011
165,15,0.34,45.6,26/02/2011
165,6,0.34,20,26/02/2011
166,15,,28,02/02/2011
166,6,,10,02/02/2011
166,5,,8,02/02/2011
166,11,,15,02/02/2011
166,1,,77,02/02/2011
167,11,,120,02/02/2011
167,1,,218,02/02/2011
167,5,,120,02/02/2011
167,15,,78,02/02/2011
167,6,,50,02/02/2011
169,11,,350,02/02/2011
169,6,,50,02/02/2011
169,15,,96,02/02/2011
169,1,,267,02/02/2011
169,5,,60,02/02/2011
171,15,,41,02/02/2011
171,5,,60,02/02/2011
171,11,,120,02/02/2011
171,6,,30,02/02/2011
171,1,,116,02/02/2011
175,5,0.31,120,15/02/2011
175,1,0.31,100,15/02/2011
175,11,0.31,180,15/02/2011
175,1,0.44,60,27/04/2010
175,15,0.31,38,15/02/2011
175,15,0.44,22.8,27/04/2010
175,6,0.31,15,15/02/2011
177,11,0.95,270,25/02/2011
177,2,0.95,15,25/02/2011
177,5,0.95,120,25/02/2011
177,1,0.95,175,25/02/2011
177,15,0.95,66.5,25/02/2011
177,16,0.95,20,25/02/2011
174,15,0.44,91.2,03/02/2011
174,1,0.44,240,03/02/2011
174,11,0.44,240,03/02/2011
174,10,0.7,5,08/04/2010
174,3,0.7,88.2,08/04/2010
174,5,0.7,35,08/04/2010
174,11,0.7,70,08/04/2010
174,1,0.7,147,08/04/2010
174,15,0.7,55.9,08/04/2010
174,6,0.7,25,08/04/2010
174,5,0.44,180,03/02/2011
181,1,0.47,80,16/02/2011
181,11,0.47,250,16/02/2011
181,15,0.47,30.4,16/02/2011
181,5,0.47,130,16/02/2011
184,11,0.38,210,19/02/2011
184,1,0.38,90,19/02/2011
184,15,0.38,34.2,19/02/2011
184,5,0.38,150,19/02/2011
185,1,,200,02/02/2011
185,5,,100,02/02/2011
185,15,,72,02/02/2011
185,11,,180,02/02/2011
185,6,,93,02/02/2011
186,15,,108,02/02/2011
186,5,,100,02/02/2011
186,6,,60,02/02/2011
186,11,,200,02/02/2011
186,1,,300,02/02/2011
188,5,0.24,115,24/02/2011
188,1,0.24,70,24/02/2011
188,15,0.24,26.6,24/02/2011
188,11,0.24,240,24/02/2011
194,6,,45,02/02/2011
194,10,,150,02/02/2011
194,1,,100,02/02/2011
194,15,,36,02/02/2011
194,11,,65,02/02/2011
194,5,,80,02/02/2011
195,11,0.29,60,03/02/2011
195,6,0.29,7,03/02/2011
195,1,0.29,200,03/02/2011
195,15,0.29,76,03/02/2011
198,5,0.43,65,15/02/2011
198,11,0.43,210,15/02/2011
198,1,0.43,130,15/02/2011
198,15,0.43,49.4,15/02/2011
199,1,,1200,02/02/2011
199,6,,90,02/02/2011
199,11,,120,02/02/2011
199,15,,432,02/02/2011
199,5,,600,02/02/2011
203,15,0.12,13.3,15/02/2011
203,1,0.12,35,15/02/2011
203,6,0.12,12,15/02/2011
203,10,0.12,10,15/02/2011
203,5,0.12,25,15/02/2011
203,11,0.12,75,15/02/2011
203,16,0.12,10,15/02/2011
203,2,0.12,10,15/02/2011
204,5,,60,02/02/2011
204,1,0.96,62,12/04/2010
204,1,,350,02/02/2011
204,5,0.96,63,12/04/2010
204,6,,70,02/02/2011
204,11,0.96,110,12/04/2010
204,15,0.96,23.56,12/04/2010
204,15,,126,02/02/2011
204,11,,360,02/02/2011
204,6,0.96,10,12/04/2010
205,11,,300,02/02/2011
205,6,,91,02/02/2011
205,6,0.78,2,30/03/2010
205,15,0.78,39.9,30/03/2010
205,1,,169,02/02/2011
205,11,0.78,16,30/03/2010
205,15,,60,02/02/2011
205,5,0.78,41,30/03/2010
205,1,0.78,105,30/03/2010
205,5,,100,02/02/2011
206,5,0.43,120,26/01/2011
206,15,0.43,17.1,26/01/2011
206,1,0.43,45,26/01/2011
206,6,0.43,25,26/01/2011
206,11,0.43,240,26/01/2011
207,1,0.46,180,02/02/2011
207,5,0.46,50,02/02/2011
207,10,0.46,45,02/02/2011
207,11,0.46,240,02/02/2011
207,15,0.46,68.4,02/02/2011
208,11,1.02,320,13/02/2011
208,1,1.02,250,13/02/2011
208,15,1.02,95,13/02/2011
208,6,1.02,10,13/02/2011
208,5,1.02,180,13/02/2011
210,6,0.5,10,22/03/2011
210,11,0.5,130,22/03/2011
210,15,0.5,34.2,22/03/2011
210,5,0.5,120,22/03/2011
210,10,0.5,50,22/03/2011
210,1,0.5,90,22/03/2011
213,5,0.17,30,15/02/2011
213,1,0.17,45,15/02/2011
213,11,0.17,60,15/02/2011
213,15,0.17,17.1,15/02/2011
213,8,0.17,20,15/02/2011
213,10,0.17,15,15/02/2011
216,15,0.39,45.6,15/02/2011
216,5,0.39,120,15/02/2011
216,1,0.39,120,15/02/2011
216,2,0.39,10,15/02/2011
216,11,0.39,280,15/02/2011
217,1,,445,02/02/2011
217,6,,10,02/02/2011
217,16,,800,02/02/2011
217,15,,78,02/02/2011
217,11,,75,02/02/2011
217,5,,10,02/02/2011
219,11,0.26,290,21/02/2011
219,1,0.26,120,21/02/2011
219,15,0.26,45.6,21/02/2011
219,5,0.26,60,21/02/2011
220,6,,60,02/02/2011
220,1,,106,02/02/2011
220,15,,34,02/02/2011
220,11,,60,02/02/2011
220,5,,50,02/02/2011
226,2,,21,02/02/2011
226,15,,205,02/02/2011
226,5,,176,02/02/2011
226,11,,525,02/02/2011
226,6,,7,02/02/2011
226,1,,570,02/02/2011
233,1,0.3,100,05/02/2011
233,15,0.3,38,05/02/2011
233,3,0.5,26.4,06/04/2010
233,10,0.3,55,05/02/2011
233,11,0.3,120,05/02/2011
233,5,0.3,70,05/02/2011
233,1,0.5,44,06/04/2010
233,6,0.3,10,05/02/2011
233,15,0.5,16.7,06/04/2010
233,2,0.3,15,05/02/2011
234,6,,18,02/02/2011
234,15,,15,02/02/2011
234,1,,40,02/02/2011
234,5,,60,02/02/2011
239,6,0.45,100,25/02/2011
239,15,0.45,57,25/02/2011
239,1,0.45,150,25/02/2011
239,5,0.45,300,25/02/2011
239,11,0.45,180,25/02/2011
247,10,0.16,15,10/03/2011
247,11,0.16,60,10/03/2011
247,15,0.16,30.4,10/03/2011
247,1,0.16,80,10/03/2011
247,5,0.16,30,10/03/2011
250,15,0.48,38,15/02/2011
250,1,0.48,100,15/02/2011
250,11,0.48,190,15/02/2011
250,5,0.48,100,15/02/2011
252,5,,60,02/02/2011
252,1,,100,02/02/2011
252,15,,36,02/02/2011
252,11,,300,02/02/2011
254,6,0.98,3,16/04/2010
254,5,0.98,38,16/04/2010
254,11,0.98,46,16/04/2010
254,1,0.98,76,16/04/2010
254,15,0.98,28.88,16/04/2010
257,5,0.55,170,03/02/2011
257,11,0.55,290,03/02/2011
257,15,0.55,68.4,03/02/2011
257,1,0.55,180,03/02/2011
258,11,,120,02/02/2011
258,6,,50,02/02/2011
258,1,,218,02/02/2011
258,5,,120,02/02/2011
258,15,,78,02/02/2011
259,11,0.48,250,25/02/2011
